id,Question,Needs Translation,Focus area,Type,Status,Discussion,Upvotes,In Part 1
dialog_element,"<dialog> ",false,Interactivity,HTML element,Stable,https://github.com/Devographics/surveys/discussions/158,77,Yes
popover_api,"Popover API

<div popover> ",false,Interactivity,"HTML attribute,JS API,CSS",Cutting Edge,https://github.com/Devographics/surveys/discussions/138,74,Yes
custom_elements_using,Using Custom Elements,true,Consuming Web Components,HTML element,Stable,https://github.com/Devographics/surveys/discussions/154,73,Yes
form_validation,Form validation,true,Forms & Editing,JS API,Stable,https://github.com/Devographics/surveys/discussions/120,69,In checkbox question
lazy_loading,Lazy loading,true,"Performance,Multimedia",JS API,Stable,https://github.com/Devographics/surveys/discussions/141,68,In checkbox question
selectmenu,<selectlist>  (ex <selectmenu> ),false,Forms & Editing,HTML element,Future,https://github.com/Devographics/surveys/discussions/95,61,Yes
shadow_dom,Shadow DOM,false,Making Web Components,Other,Stable,https://github.com/Devographics/surveys/discussions/156,57,Yes
breadcrumb,"<breadcrumb> ",false,Semantic HTML,HTML element,Future,https://github.com/Devographics/surveys/discussions/116,54,No
svg_element,"<svg> ",false,Embedding,HTML element,Stable,https://github.com/Devographics/surveys/discussions/125,52,In checkbox question
picture_element,"<picture> ",false,Multimedia,HTML element,Stable,https://github.com/Devographics/surveys/discussions/122,50,In checkbox question
details_element,"<details> / <summary> ",false,Interactivity,HTML element,Stable,https://github.com/Devographics/surveys/discussions/128,49,Yes
slot_def,"Defining slots (<slot> ) ",true,Making Web Components,HTML element,Stable,https://github.com/Devographics/surveys/discussions/129,47,In checkbox question
aria,ARIA,false,ARIA & Accessibility APIs,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/114,44,In checkbox question
respimg,srcset and sizes attributes,true,Multimedia,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/123,44,In checkbox question
inert_attribute,inert  attribute,true,Interactivity,HTML attribute,Recent,https://github.com/Devographics/surveys/discussions/139,44,Yes
declarative_shadow,Declarative Shadow DOM,true,Making Web Components,HTML attribute,Cutting Edge,https://github.com/Devographics/surveys/discussions/100,42,Yes
host_css,"Styling component host (:host, :host(), :host-context())",true,Making Web Components,CSS,Stable,https://github.com/Devographics/surveys/discussions/149,42,In checkbox question
autocomplete,"autocomplete=""hint""",false,Forms & Editing,HTML attribute value,Mixed,https://github.com/Devographics/surveys/discussions/162,41,Yes
search_element,"<search> ",false,"Semantic HTML,ARIA & Accessibility APIs",HTML element,Future,https://github.com/Devographics/surveys/discussions/130,39,Yes
